trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.74999999999895572, 'e': 0.00050000000000000001}",20,4,25.79315415267285,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.74999999999948141, 'e': 0.00047590719809637125}",30,20,21.125078553328773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.74999999999974243, 'e': 0.00045351473922902497}",25,4,18.554003268840212,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.7499999999998721, 'e': 0.00043266630611141162}",20,14,9.829172808786872,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7499999999999365, 'e': 0.00041322314049586781}",30,20,-26.723814076975376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.74999999999996847, 'e': 0.00039506172839506176}",25,14,14.977699446455143,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.74999999999998435, 'e': 0.00037807183364839322}",20,7,21.498286121070446,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.74999999999999223, 'e': 0.00036215482118605704}",25,0,31.573489461022177,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.74999999999999623, 'e': 0.00034722222222222224}",25,6,8.027260418131435,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.74999999999999811, 'e': 0.00033319450229071221}",25,5,-24.078305996236615,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.74999999999999911, 'e': 0.00032000000000000003}",20,3,26.03469674543498,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.74999999999999956, 'e': 0.00030757400999615535}",25,0,-57.2765594546299,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
52,False,"{'a': 0.74999999999999978, 'e': 0.00029585798816568048}",25,0,38.53395597412001,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.74999999999999989, 'e': 0.00028479886080455682}",25,0,8.969164896723399,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
54,False,"{'a': 0.74999999999999989, 'e': 0.00027434842249657066}",30,10,-7.989983237696546,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.75, 'e': 0.00026446280991735538}",20,13,14.669871478334148,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.75, 'e': 0.00025510204081632655}",20,1,16.651026044772983,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.75, 'e': 0.00024622960911049554}",25,0,30.176922223987923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.75, 'e': 0.00023781212841854935}",20,12,11.927959435218598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.75, 'e': 0.0002298190175237001}",20,10,10.170299652195753,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.00022222222222222223}",20,13,10.535042065014183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.00021499596882558453}",20,0,24.109383070714017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.0002081165452653486}",30,17,22.95527390800795,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.75, 'e': 0.00020156210632401108}",30,18,22.34811309488084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.00019531250000000001}",20,0,26.3464197869654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
